datetime,geocity,temperature,amount,currency
2019-07-11T08:00:37Z,Saltsjöbaden,1,36,SEK
2017-03-27T18:15:56Z,Troyits’ke,0,66,UAH
2015-04-22T00:44:33Z,Chamlykskaya,1,36,RUB
2015-04-04T14:23:40Z,Fujinomiya,3,37,JPY
2015-05-25T12:29:11Z,Wakayama-shi,8,78,JPY
2020-06-24T07:35:30Z,Niugan,2,60,PHP
2016-05-20T08:33:00Z,Ituiutaba,6,80,BRL
2018-02-17T02:16:09Z,Bologna,8,03,EUR
2017-06-16T04:44:57Z,Bonn,7,66,EUR
2014-12-07T16:17:37Z,Saint-Brieuc,9,53,EUR
2015-08-28T08:08:29Z,Falun,6,06,SEK
2017-10-23T03:41:31Z,Kaynardzha,7,78,BGN
2018-09-05T16:43:47Z,Hai’an,7,07,CNY
2020-08-13T03:07:56Z,Bweyogerere,1,26,UGX
2016-06-25T02:38:55Z,Sośno,3,74,PLN
2015-05-24T05:12:52Z,Nijmegen,0,66,EUR
2015-03-13T22:03:22Z,Kurihashi,9,28,JPY
2016-06-15T03:33:51Z,Milwaukee,6,47,USD
2016-01-25T18:33:44Z,Mallow,7,80,EUR
2018-05-18T07:54:37Z,La Tebaida,2,01,COP
2017-11-09T00:42:42Z,Alminhas,6,18,EUR
2015-06-20T18:37:37Z,Sandaoba,2,89,CNY
2018-12-01T20:50:57Z,Kongwan,2,02,CNY
2015-09-25T02:49:56Z,Janaka,1,19,IDR
2014-12-04T07:52:42Z,Padilla,7,49,BOB
2017-04-28T12:01:56Z,Neringa,5,53,LTL
2015-01-16T23:06:57Z,Sagay,3,64,PHP
2021-04-03T00:34:28Z,Bilqās,7,14,EGP
2021-03-13T06:49:46Z,Juḩr ad Dīk,2,66,ILS
2015-03-07T14:25:17Z,Lewograran,6,31,IDR
2016-08-18T14:30:42Z,Pangkajene,0,47,IDR
2014-12-10T12:18:54Z,Gumel,5,15,NGN
2019-08-31T12:49:14Z,Bulls,1,35,NZD
2018-03-01T21:30:19Z,Puerto Ayacucho,0,10,VEF
2021-06-01T06:59:55Z,Vulcan,4,11,CAD
2016-05-01T09:55:27Z,Auray,6,11,EUR
2019-01-02T03:05:41Z,Qā’en,7,62,IRR
2019-03-16T17:30:37Z,Heichengzi,9,72,CNY
2017-11-19T20:49:15Z,Yamrat,5,22,NGN
2015-05-31T10:33:21Z,Farsta,6,19,SEK
2016-07-02T00:36:39Z,Köln,2,42,EUR
2017-06-03T23:34:59Z,Novyy Uoyan,1,36,RUB
2021-04-26T08:40:29Z,Sunnyvale,6,63,USD
2019-03-05T02:41:59Z,Mionica,7,17,BAM
2018-05-02T04:01:21Z,Hechuan,0,77,CNY
2020-04-03T22:46:05Z,Mojo,2,07,ETB
2020-07-28T01:21:12Z,Póvoa,2,56,EUR
2015-10-26T05:43:06Z,Kalimati,6,66,IDR
2015-01-09T04:07:33Z,Ponjen,8,51,IDR
2021-03-16T05:17:39Z,Podgornoye,2,22,RUB
2018-12-21T16:06:46Z,Tamorong,0,64,PHP
2021-07-17T18:20:21Z,Degerfors,6,99,SEK
2020-09-19T03:04:06Z,Labuhanlalar,2,36,IDR
2020-10-02T23:21:44Z,La Reforma,2,45,MXN
2016-03-07T07:16:47Z,Göteborg,6,66,SEK
2015-10-20T01:23:14Z,Talondang,1,39,IDR
2020-04-07T18:49:56Z,Чегране,4,47,MKD
2018-02-27T06:03:10Z,Zengjia,8,15,CNY
2019-03-29T14:06:09Z,Arcachon,2,33,EUR
2019-02-10T14:33:56Z,Guarumal,3,69,PAB
2020-12-20T08:45:30Z,Yonghe,9,37,CNY
2017-09-21T10:26:05Z,Lazaro Cardenas,0,40,MXN
2016-08-30T12:48:06Z,Sidi Qacem,7,78,MAD
2019-10-26T02:11:46Z,Maonon,0,41,PHP
2016-09-22T00:23:10Z,Jugezhuang,4,57,CNY
2017-05-24T11:55:50Z,Lycksele,4,53,SEK
2017-11-21T20:47:32Z,Jinshan,7,37,CNY
2015-12-26T15:11:10Z,Bulnes,7,51,CLP
2014-10-08T07:39:26Z,Taipinghu,9,90,CNY
2018-02-11T07:39:43Z,Gyodong,6,25,KRW
2017-06-16T17:28:01Z,Yên Lạc,7,04,VND
2020-05-13T23:21:02Z,Quisqueya,8,50,DOP
2016-03-31T03:48:02Z,Cangyou,7,84,CNY
2018-03-16T02:13:03Z,Chishui,0,13,CNY
2020-02-04T17:45:21Z,Cayang,5,94,PHP
2016-09-27T12:01:54Z,Briceni,0,18,MDL
2014-09-05T01:13:02Z,Serzedo,1,46,EUR
2016-01-30T08:23:22Z,Sibinal,0,29,GTQ
2015-03-11T21:59:32Z,Andahuaylillas,3,55,PEN
2021-05-02T13:07:33Z,Dzhiginka,6,60,RUB
2019-12-09T15:15:12Z,San Pedro,3,33,PHP
2019-04-30T04:52:22Z,Montréal-Est,8,42,CAD
2020-11-08T01:04:57Z,Shenshu,5,50,CNY
2020-01-14T13:42:14Z,Växjö,3,59,SEK
2020-07-08T10:36:10Z,Funehikimachi-funehiki,6,98,JPY
2019-07-20T19:03:37Z,West End,3,41,CAD
2016-05-12T11:38:15Z,Vänersborg,3,24,SEK
2017-05-07T05:48:18Z,Choca do Mar,1,67,EUR
2016-01-16T01:27:50Z,Novaya Usman’,9,97,RUB
2017-01-14T23:24:28Z,Paulínia,6,70,BRL
2018-06-22T14:19:11Z,Santa Quitéria do Maranhão,0,10,BRL
2015-12-21T03:12:12Z,Itapuranga,7,25,BRL
2015-10-23T20:26:30Z,Belopa,5,71,IDR
2017-09-30T16:52:45Z,Bima,5,87,IDR
2014-10-15T05:49:02Z,Ribeirão da Ilha,3,85,BRL
2016-08-18T11:09:31Z,Getazat,9,74,AMD
2021-04-29T04:39:06Z,Boavista,9,86,EUR
2019-09-10T21:50:23Z,Dortmund,1,53,EUR
2015-10-15T23:41:05Z,Ghanzi,7,40,BWP
2017-05-04T22:56:40Z,Huanghua,4,44,CNY
2017-11-16T20:06:32Z,Bošovice,3,90,CZK
2017-03-07T04:09:43Z,Independencia,4,71,MXN
2018-07-10T15:03:13Z,Al Bilād,6,26,YER
2014-10-16T16:43:47Z,Norabats’,0,77,AMD
2020-04-01T19:35:04Z,Roches Noire,3,27,MUR
2015-02-22T20:29:03Z,Surubim,7,20,BRL
2016-12-12T12:25:06Z,Zaoshi,4,72,CNY
2020-02-15T11:28:26Z,Diavatós,5,67,EUR
2015-02-25T13:09:10Z,Doudleby nad Orlicí,8,40,CZK
2017-03-10T11:19:33Z,Honkajoki,4,51,EUR
2018-10-22T22:18:07Z,Urho,9,52,CNY
2020-08-21T12:23:51Z,Rancharia,1,29,BRL
2015-11-15T00:11:46Z,Ząbkowice Śląskie,7,32,PLN
2015-07-11T09:24:53Z,Bontang,4,16,IDR
2016-02-26T01:47:14Z,Midland,5,61,USD
2021-02-01T13:33:21Z,Phlapphla Chai,5,02,THB
2018-09-06T20:31:55Z,Göteborg,2,52,SEK
2021-02-26T06:21:48Z,Pericik,4,04,IDR
2015-06-02T22:14:51Z,Aqaba,2,67,JOD
2014-11-20T02:00:27Z,Sukorambi,5,22,IDR
2019-10-23T16:54:50Z,Retenggoma,9,55,IDR
2015-09-06T12:48:39Z,Svenljunga,0,02,SEK
2020-11-21T14:59:50Z,Changuinola,3,14,PAB
2019-03-31T08:48:35Z,Youkaichi,0,36,JPY
2016-02-14T02:05:11Z,Nanyang,3,11,CNY
2021-03-26T12:42:26Z,Bansko,8,31,BGN
2016-01-03T05:24:13Z,Oni,8,57,IDR
2018-03-03T10:12:41Z,Karano,8,02,IDR
2016-03-20T09:42:22Z,Privolzhskiy,3,78,RUB
2017-06-14T11:02:50Z,Centro Habana,5,51,CUP
2018-07-06T04:41:27Z,Bulihan,1,98,PHP
2020-11-07T05:43:05Z,Gushan,5,61,CNY
2020-02-22T12:20:03Z,Auas,4,27,HNL
2021-06-24T19:09:51Z,Teresina,4,77,BRL
2018-12-22T10:17:30Z,Flen,9,67,SEK
2015-11-23T23:34:51Z,Karasuk,6,38,RUB
2017-06-02T20:34:15Z,Francisco Sarabia,5,75,MXN
2020-07-22T19:43:17Z,Oberá,1,89,ARS
2019-05-13T05:23:44Z,Nakhon Nayok,4,50,THB
2018-10-09T19:12:49Z,Dangmu,5,74,CNY
2015-12-19T15:20:14Z,Atlanta,4,15,USD
2020-08-21T13:13:29Z,Huancarqui,3,09,PEN
2017-03-17T13:32:14Z,Jining,9,16,CNY
2017-07-17T08:04:11Z,Września,0,32,PLN
2020-02-27T20:00:47Z,Sydney,3,30,AUD
2019-07-13T16:19:12Z,Radoboj,6,01,HRK
2018-03-09T02:44:44Z,Yuncao,5,88,CNY
2018-12-18T23:36:36Z,Hankha,3,63,THB
2014-12-05T23:31:43Z,Dalun,3,30,CNY
2015-08-17T02:22:53Z,Puncakwangi,1,04,IDR
2017-01-02T03:33:45Z,Sabanitas,4,46,PAB
2017-03-17T17:58:13Z,Shuangzhong,5,08,CNY
2015-09-26T04:46:32Z,Raas,5,08,IDR
2021-03-31T09:43:36Z,Złoty Stok,8,90,PLN
2019-11-03T18:37:33Z,Cuauhtemoc,7,23,MXN
2020-05-04T09:09:30Z,Sozopol,0,51,BGN
2017-02-13T11:56:07Z,Lingqiao,0,10,CNY
2016-08-28T09:11:09Z,Mamfe,0,48,XAF
2015-06-29T18:04:16Z,Binhailu,2,81,CNY
2015-01-30T13:27:46Z,Dārāb,6,10,IRR
2020-12-17T22:59:32Z,Dongcun,4,94,CNY
2015-02-15T06:53:05Z,Aguada de Pasajeros,6,74,CUP
2018-05-21T17:47:18Z,Bačka Palanka,0,22,RSD
2020-10-29T00:34:03Z,Angra do Heroísmo,9,06,EUR
2017-12-25T10:37:13Z,Sakura,3,14,JPY
2015-03-26T14:57:18Z,Concepción,6,37,GTQ
2016-08-30T02:30:15Z,Zheleznodorozhnyy,9,75,RUB
2018-02-21T21:49:01Z,Plomárion,7,35,EUR
2017-08-15T04:04:22Z,Hubynykha,2,96,UAH
2018-12-20T11:23:08Z,Hai Riêng,9,39,VND
2017-11-05T13:11:34Z,Guoyuan,1,54,CNY
2016-03-30T03:00:44Z,Jinzipai,5,02,CNY
2021-05-10T10:22:54Z,Yahe,7,40,CNY
2019-12-29T17:05:57Z,Staraya Mayna,1,60,RUB
2016-02-08T18:29:18Z,Villa Nueva,3,56,ARS
2019-07-10T05:41:25Z,Villa Alemana,1,78,CLP
2019-03-04T06:15:32Z,Croix,8,01,EUR
2016-02-04T21:26:36Z,Fécamp,5,07,EUR
2016-07-07T02:42:15Z,Jiaqu,1,49,CNY
2015-10-25T11:17:15Z,Liancheng,8,69,CNY
2020-05-28T20:38:36Z,Santa Cruz,4,67,PHP
2017-05-25T06:20:05Z,Křižanov,7,79,CZK
2019-10-30T23:47:25Z,Oslo,7,44,NOK
2018-02-20T05:30:10Z,Nailong,8,73,PHP
2016-12-11T19:27:05Z,Dongxing,0,92,CNY
2018-09-17T17:34:58Z,Liufu,4,02,CNY
2018-06-24T13:31:37Z,Balatun,5,51,BAM
2017-11-20T13:56:31Z,Gaplek,3,38,IDR
2015-06-18T14:06:22Z,Brongkalan,3,71,IDR
2020-12-05T00:17:03Z,Nacimiento,2,19,CLP
2015-09-22T02:17:10Z,Venilale,7,10,USD
2016-06-11T06:34:16Z,Fuchun,8,89,CNY
2017-01-19T05:32:29Z,Cincinnati,4,83,USD
2017-07-05T11:18:28Z,Labo,5,06,PHP
2017-10-19T21:28:28Z,Corvite,5,44,EUR
2015-05-12T02:40:00Z,Iwai,8,46,JPY
2015-01-27T08:08:37Z,Haysyn,2,88,UAH
2019-04-27T00:54:32Z,Carpentras,0,45,EUR
2019-06-22T16:43:38Z,Chorente,6,27,EUR
2020-05-25T05:03:42Z,Rosetta,1,23,EGP
2015-04-05T12:48:08Z,Kudahuvadhoo,9,68,MVR
2019-08-02T00:34:32Z,Markovo,4,65,RUB
2017-06-10T14:12:00Z,Várzea,0,13,EUR
2015-09-27T12:13:34Z,Nansan,1,54,CNY
2021-01-23T03:56:06Z,Santo Isidro,5,08,EUR
2017-11-28T17:11:31Z,Ozerki,9,85,RUB
2014-12-08T07:08:21Z,La Paz,7,36,PHP
2015-12-06T12:39:12Z,Bratislava,7,31,EUR
2021-04-16T22:38:26Z,Raojān,1,46,BDT
2021-07-09T11:18:56Z,Ulanov,3,51,UAH
2017-09-09T23:26:21Z,Barão de Cocais,7,13,BRL
2015-12-31T01:55:01Z,Acton Vale,4,28,CAD
2016-03-11T04:49:53Z,Firmat,8,35,ARS
2019-11-08T12:16:46Z,Jaba‘,3,46,ILS
2015-12-22T12:09:03Z,Outeirô,7,68,EUR
2021-05-03T12:59:31Z,Yashkul’,5,17,RUB
2021-03-31T09:11:58Z,Dabu,4,70,CNY
2020-11-13T22:13:23Z,Cabay,0,73,PHP
2021-05-04T12:56:08Z,Funan Chengguanzhen,2,48,CNY
2018-09-21T16:10:54Z,Thiais,3,82,EUR
2015-04-02T02:03:01Z,Urug,7,82,IDR
2019-07-14T15:54:19Z,Zelenogorsk,0,80,RUB
2019-06-07T12:04:48Z,Moyamba,2,23,SLL
2015-08-13T22:13:15Z,Pop Shahri,8,71,UZS
2020-09-10T08:09:52Z,Palca,3,78,PEN
2019-04-09T00:36:06Z,Balboa,5,47,COP
2017-05-22T14:55:26Z,Străşeni,0,95,MDL
2018-06-02T16:16:43Z,Marogong,0,95,PHP
2019-04-18T12:40:39Z,Lantapan,0,04,PHP
2018-12-15T13:45:25Z,Gegernoong,9,36,IDR
2019-07-13T15:56:18Z,Perelhal,0,24,EUR
2020-08-23T10:55:15Z,Shemonaīkha,5,73,KZT
2016-06-08T02:52:49Z,København,8,67,DKK
2018-07-24T08:46:32Z,Panzhuang,4,68,CNY
2014-11-30T00:16:53Z,Anuradhapura,8,90,LKR
2017-09-02T13:45:02Z,Bascaron,0,41,PHP
2015-06-19T07:59:46Z,Harjamukti,2,06,IDR
2018-07-29T07:31:00Z,Bobowa,4,56,PLN
2018-11-01T15:43:54Z,Pampas Chico,6,14,PEN
2021-03-31T07:09:02Z,Nairobi,2,68,KES
2021-03-25T18:42:36Z,Loma Alta,3,82,HNL
2014-10-14T16:37:51Z,Bayanan,5,61,PHP
2015-01-29T03:35:40Z,Bāmyān,8,81,AFN
2014-10-30T06:55:39Z,Chyżne,4,28,PLN
2021-05-24T05:37:15Z,Sambiyan,6,54,IDR
2016-09-03T10:42:00Z,Kudahuvadhoo,0,54,MVR
2018-03-31T18:07:28Z,Tayuan,0,46,CNY
2016-02-11T00:14:47Z,Abbeville,7,84,EUR
2018-06-16T11:52:01Z,Amersfoort,6,67,EUR
2017-11-10T01:42:43Z,Bailianhe,0,52,CNY
2019-02-11T21:15:11Z,Abricots,6,32,HTG
2014-11-30T17:06:07Z,Lumphăt,1,42,KHR
2020-06-28T15:02:36Z,Pantalowice,5,27,PLN
2017-05-20T09:40:00Z,Chengmen,9,39,CNY
2016-02-06T16:12:05Z,Aparecida,6,38,BRL
2015-03-29T21:48:32Z,Kaji,2,72,CNY
2018-11-20T09:51:16Z,Tiyuguan,6,32,CNY
2017-03-29T12:53:17Z,San Rafael,0,71,PHP
2016-08-05T10:13:00Z,Majan,8,67,IDR
2016-04-01T00:18:01Z,Ciladaeun,9,58,IDR
2016-05-13T14:58:49Z,Aguada de Pasajeros,4,97,CUP
2019-02-28T07:01:35Z,Dmitrov,6,72,RUB
2020-11-17T21:23:15Z,Tha Mai,7,26,THB
2015-07-20T15:52:48Z,Rawaglagah,9,52,IDR
2017-11-06T00:01:09Z,Yanghuxiang,2,00,CNY
2020-01-15T15:49:45Z,Hailang,5,14,CNY
2018-05-29T00:35:19Z,Lyon,8,58,EUR
2015-08-08T05:00:53Z,Bamako,9,64,XOF
2017-03-04T14:02:06Z,Sao Hai,4,99,THB
2015-08-30T22:32:30Z,Avdzaga,9,48,MNT
2015-10-02T07:52:23Z,Nelahozeves,1,95,CZK
2021-01-12T03:11:54Z,Mönchengladbach,5,61,EUR
2016-06-30T20:31:30Z,Kampala,1,15,UGX
2020-01-01T04:56:15Z,Turangi,7,45,NZD
2020-09-16T20:40:34Z,Sancha,4,73,CNY
2016-09-01T02:15:23Z,Xibing,1,68,CNY
2019-08-04T16:46:38Z,Valladolid,3,20,EUR
2018-09-12T09:16:54Z,Dobre Miasto,6,79,PLN
2019-06-02T13:27:08Z,Distracción,0,96,COP
2016-03-30T10:40:05Z,Chełmża,3,51,PLN
2017-01-19T08:21:01Z,San Marcos,2,14,USD
2017-07-18T01:41:51Z,Ingå,7,13,EUR
2016-01-13T07:11:25Z,Pho Duc,4,89,VND
2016-11-19T10:04:26Z,Selasari,9,24,IDR
2015-08-17T10:52:56Z,Centurion,6,47,ZAR
2015-03-15T18:19:36Z,Borovan,2,31,BGN
2020-01-19T01:17:50Z,Hödrögö,2,04,MNT
2016-10-01T18:16:07Z,Lebane,5,50,RSD
2020-12-19T02:43:15Z,Maloco,6,14,PHP
2018-10-15T02:21:08Z,Khandagayty,7,44,RUB
2021-07-17T16:24:31Z,Berlin Novgorod,9,01,RUB
2015-07-01T05:01:34Z,Kowala,9,17,PLN
2020-08-14T22:05:08Z,Annonay,0,97,EUR
2014-11-02T02:55:15Z,Sedlice,5,62,CZK
2015-07-20T01:23:58Z,Landerneau,1,42,EUR
2018-06-23T07:28:41Z,Tabon,2,03,PHP
2016-08-21T22:39:12Z,Altenberg bei Linz,6,11,EUR
2020-10-16T00:55:14Z,Pukou,3,50,CNY
2015-08-09T08:09:13Z,Shanhou,2,95,CNY
2017-01-17T13:19:26Z,Melgar,6,14,COP
2014-09-18T18:09:34Z,Sukadana,0,37,IDR
2020-04-15T16:33:11Z,Tsovazard,6,94,AMD
2020-05-15T09:13:11Z,Thaon-les-Vosges,5,71,EUR
2016-01-02T10:57:21Z,Hobscheid,2,86,EUR
2019-10-10T00:12:40Z,Vale Maceiras,7,11,EUR
2015-12-30T21:15:47Z,Tieling,2,24,CNY
2020-03-08T00:20:30Z,Drajak,4,74,IDR
2016-05-23T06:08:33Z,Dadianzi,9,20,CNY
2015-12-25T23:29:47Z,Arras,1,60,ALL
2019-02-09T20:00:44Z,Lincoln,2,51,ARS
2020-03-04T13:29:17Z,Shangqiu,1,26,CNY
2014-11-08T16:29:03Z,Morawica,8,62,PLN
2018-07-23T12:31:16Z,Santa Bernardina,6,48,UYU
2015-04-18T01:12:57Z,Tambo,3,60,PEN
2021-04-11T04:15:55Z,Umeå,2,58,SEK
2016-09-11T14:09:26Z,Birendranagar,2,95,NPR
2016-10-21T14:46:31Z,Fryazino,9,29,RUB
2014-09-20T14:16:39Z,Chigang,3,73,CNY
2018-10-28T19:51:14Z,San Antonio,8,71,PHP
2020-05-03T12:43:28Z,Paucar,7,36,PEN
2019-11-03T19:13:16Z,Craigavon,0,95,GBP
2019-10-18T20:39:03Z,Makoko,6,91,NGN
2016-10-23T19:53:11Z,Guangshan Chengguanzhen,4,07,CNY
2019-04-21T19:18:51Z,Lubei,7,92,CNY
2017-03-27T02:03:42Z,Hendala,5,71,LKR
2017-12-22T02:12:16Z,Kaum,1,48,IDR
2020-05-28T21:23:22Z,Wrząsowice,7,72,PLN
2021-01-01T21:01:15Z,Longxi,3,29,CNY
2016-05-17T10:24:55Z,Tianyuan,1,51,CNY
2015-12-22T19:26:04Z,Patsi,1,39,KMF
2016-06-15T17:18:36Z,Al Ḩarf,9,13,YER
2019-04-04T19:34:22Z,Guanay,9,59,BOB
2020-07-02T00:27:13Z,Montes Claros,4,92,BRL
2017-01-11T01:41:50Z,Kihniö,5,31,EUR
2021-06-03T19:51:07Z,Xiaxi,3,72,CNY
2016-05-31T05:38:31Z,Alpedrinha,4,91,EUR
2016-09-19T12:22:12Z,Kalisangkrah Lor,4,52,IDR
2020-02-21T17:00:57Z,Liquica,1,96,USD
2021-06-27T06:47:12Z,Nurlat,1,16,RUB
2017-05-09T16:28:54Z,Straldzha,8,06,BGN
2017-06-09T04:20:43Z,Bāzārak,1,11,AFN
2018-02-17T23:53:25Z,Mytishchi,8,01,RUB
2017-02-09T16:03:15Z,Sława,2,36,PLN
2019-06-26T09:37:58Z,Yugang,1,53,CNY
2015-10-07T16:42:03Z,Santo Amaro,8,95,EUR
2016-02-24T15:08:26Z,Yaguarón,7,07,PYG
2016-08-17T15:12:38Z,Tongole,8,77,SLL
2018-02-08T11:40:24Z,Gandrungmangu,4,71,IDR
2021-01-26T05:35:48Z,Madrid,6,32,EUR
2014-09-12T08:40:10Z,Valle San Francisco,4,50,NIO
2018-04-27T03:02:13Z,Marignane,1,54,EUR
2016-07-17T23:09:47Z,Punta Cana,7,40,DOP
2015-11-02T21:17:48Z,Narsaq,0,55,DKK
2019-07-30T00:23:44Z,Dingjia,6,67,CNY
2014-11-27T15:17:33Z,Cauto Cristo,3,85,CUP
2017-11-29T12:53:34Z,Colorado Springs,8,61,USD
2014-11-29T05:03:42Z,Dahay,0,53,PHP
2020-06-01T17:01:57Z,Kotkot,2,22,PHP
2015-01-14T08:48:05Z,København,0,23,DKK
2017-01-01T11:44:37Z,Paços de Ferreira,5,12,EUR
2021-01-02T07:52:11Z,Lökbatan,2,20,AZN
2015-03-10T16:16:13Z,Ōtawara,7,96,JPY
2018-10-14T16:01:38Z,Chengji,8,29,CNY
2015-03-08T23:46:58Z,Shenavan,4,61,AMD
2017-09-22T22:53:12Z,Bergen,8,17,NOK
2018-07-01T09:02:04Z,Vesëlyy,8,57,RUB
2021-05-13T13:11:37Z,Wola Jachowa,3,15,PLN
2019-06-01T02:56:22Z,Grytviken,1,60,GBP
2015-02-25T10:37:54Z,Rietavas,3,49,LTL
2019-03-06T04:30:08Z,Obolo-Eke (1),2,94,NGN
2018-06-24T13:08:43Z,Solna,4,74,SEK
2021-06-17T19:26:18Z,Peroguarda,4,65,EUR
2020-09-28T11:45:50Z,Tân An,0,22,VND
2017-11-02T17:50:36Z,Ueno,3,86,JPY
2020-07-26T18:09:04Z,Montargis,0,15,EUR
2018-12-13T05:49:56Z,Zhangdian,6,42,CNY
2020-11-14T17:15:44Z,Zhenxi,0,60,CNY
2019-04-21T07:29:40Z,Pasirdalem,2,24,IDR
2020-01-30T13:59:19Z,Bakhmach,4,60,UAH
2015-07-17T13:12:09Z,Sendangrejo,2,92,IDR
2014-10-14T23:25:53Z,Sovetskaya Gavan’,5,98,RUB
2016-08-14T14:35:24Z,Sarāvān,0,72,IRR
2019-11-05T14:39:01Z,Kankan,5,43,GNF
2017-12-26T18:41:39Z,Glan,3,51,PHP
2014-12-01T20:25:45Z,Bungsuan,8,67,PHP
2016-10-10T08:07:02Z,Semikarakorsk,9,76,RUB
2017-08-08T15:07:20Z,Rantepang,1,23,IDR
2018-08-08T14:32:45Z,Porecatu,4,84,BRL
2018-07-07T16:02:11Z,Carmelo,5,15,PHP
2018-10-03T17:00:02Z,Xiaohebian,3,43,CNY
